,gmd,gmd,groovae,groovae,groovae,groovae,misunderstood,misunderstood,misunderstood,misunderstood
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
NoI,1.348,1.22,1.009,0.909,0.544,0.8,1.053,0.977,0.02,0.789
Total Step Density,0.267,0.193,0.244,0.175,0.019,0.908,0.246,0.175,0.005,0.919
Avg Voice Density,0.049,0.035,0.043,0.031,0.012,0.929,0.054,0.041,0.015,0.81
Lowness,0.107,0.082,0.119,0.104,0.093,0.93,0.079,0.062,0.01,0.896
Midness,0.222,0.158,0.195,0.15,0.007,0.932,0.127,0.094,0.006,0.899
Hiness,0.233,0.18,0.205,0.155,0.007,0.924,0.122,0.105,0.017,0.856
Vel Similarity Score,0.089,0.138,0.071,0.128,0.056,0.812,0.055,0.13,0.023,0.82
Weak to Strong Ratio,1.469,1.547,1.209,1.208,0.025,0.88,1.017,0.909,0.02,0.87
Lowsync,0.135,0.107,0.135,0.111,0.037,0.916,0.126,0.106,0.009,0.892
Midsync,0.227,0.186,0.243,0.179,0.006,0.901,0.271,0.21,0.021,0.879
Hisync,0.187,0.158,0.13,0.123,0.084,0.806,0.089,0.093,0.033,0.808
Lowsyness,0.021,0.018,0.017,0.014,0.016,0.876,0.011,0.009,0.031,0.844
Midsyness,0.022,0.018,0.021,0.017,0.097,0.886,0.016,0.012,0.035,0.853
Hisyness,0.017,0.015,0.014,0.014,0.191,0.862,0.008,0.01,0.042,0.788
Complexity,0.546,0.391,0.489,0.354,0.027,0.926,0.517,0.382,0.055,0.937
