,gmd,gmd,groovae,groovae,groovae,groovae,misunderstood,misunderstood,misunderstood,misunderstood
,Intra-set,Intra-set,Intra-set,Intra-set,Inter-set,Inter-set,Intra-set,Intra-set,Inter-set,Inter-set
,mean,STD,mean,STD,KL,OA,mean,STD,KL,OA
NoI,1.113,0.999,0.859,0.742,1.204,0.778,1.009,0.949,0.873,0.826
Total Step Density,0.27,0.198,0.25,0.178,0.027,0.888,0.257,0.184,0.091,0.881
Avg Voice Density,0.052,0.038,0.045,0.031,0.055,0.893,0.07,0.051,0.039,0.772
Lowness,0.096,0.075,0.098,0.076,0.007,0.93,0.076,0.063,0.025,0.9
Midness,0.211,0.149,0.189,0.146,0.002,0.949,0.113,0.09,0.009,0.893
Hiness,0.229,0.173,0.188,0.137,0.007,0.926,0.117,0.1,0.035,0.857
Vel Similarity Score,0.069,0.128,0.078,0.164,0.037,0.802,0.04,0.034,0.013,0.855
Weak to Strong Ratio,1.414,1.481,1.311,1.15,0.124,0.891,1.063,0.932,0.096,0.875
Lowsync,0.119,0.097,0.159,0.122,0.014,0.852,0.139,0.13,0.024,0.895
Midsync,0.218,0.181,0.23,0.18,0.007,0.903,0.253,0.198,0.017,0.892
Hisync,0.174,0.157,0.134,0.118,0.018,0.848,0.088,0.095,0.03,0.818
Lowsyness,0.017,0.013,0.021,0.016,0.054,0.885,0.011,0.009,0.011,0.89
Midsyness,0.021,0.018,0.019,0.014,0.016,0.887,0.014,0.01,0.06,0.818
Hisyness,0.016,0.014,0.014,0.014,0.191,0.832,0.008,0.01,0.055,0.771
Complexity,0.546,0.392,0.496,0.351,0.012,0.939,0.556,0.436,0.027,0.908
